제2장 1978.7	Часть вторая ИЮЛЬ 1978 Г.
그녀에게 있어서 나는 이미 상실된 사람이었다. 	
설사 그녀가 아직도 조금은 나를 사랑하고 있다 하더라도, 그건 별개의 문제였다. 	
그녀는 그녀의 슬립 몇 장과 함께 내 앞에서 영원히 모습을 감추었다.	
어떤 사람은 잊혀지고, 어떤 사 람은 모습을 감추며, 어떤 사람은 죽는다.	
그리고 거기에는 비극적인 요소는 거 의 없다.	
	
1.열 여섯 걸음 걷는 것에 대하여 	1. 16 ШАГОВ И ПРАВИЛА ИХ ПРОХОЖДЕНИЯ
등뒤에서 엘리베이터 문이 칙 하는 컴프레서 소리를 내며 닫히는 걸 확인하고 나서, 천천히 눈을 감는다.	Чш-ш-ш!...' - шипит мне в спину компрессор лифта, и я медленно закрываю глаза.
	Собираю ошметки мыслей - и делаю: шестнадцать шагов по коридору прямо к двери квартиры.
그리고 의식의 단편을 그러모은 다음 문을 향해 아 파트의 복도를 열 여섯 걸음 걸었다.	С закрытыми глазами.
눈을 감은 채 정확히 열 여섯 걸음, 그 이 상도 그 이하도 아니다.	Ровно шестнадцать ╜ ни больше ни меньше.
위스키 덕분에 머리 속은 닳아빠진 나사처럼 흐리멍덩 했고, 입안은 담배의 타르 냄새로 가득했다.	От выпитого виски голова шумит и болтается, как на вывернутых шурупах; никотиновой вонью сводит язык во рту.
	И все же, как бы ни был пьян, я всегда способен вот на эти шестнадцать шагов: закрыв глаза - и прямо, как по натянутой проволоке.
아무리 취했더라도 눈을 감은 채 자로 선을 그은 것처럼 똑바로 열 여섯 걸음 을 걸을 수 있다.	Механический навык, результат долгих лет тренировки.
	Когда бы ни пришел домой вдрабадан - каждый мускул спины непременно распрямляет фигуру, голова подымается, и легкие решительно вбирают в себя утренний воздух со слабым запахом цементного коридора.
	И вот тогда, наконец, я закрываю глаза и делаю свои шестнадцать шагов по прямой из клубов хмельного тумана.
	С тех пор, как я вооружился Правилом Шестнадцати Шагов, меня даже удостоили титула: 'Наш Самый Приличный Алкаш'.
오랜 세월에 걸친 의미 없는 자기 훈련 덕분이다.	Быть им вовсе не сложно.
취할 때마 다 등줄기를 곧게 펴고, 고개를 들고, 아침 공기와 콘크리트 복도의 냄새를 한껏 폐에 들이마신다. 그러고 나서 눈을 감고 위스키의 안개 속을 똑바로 열 여섯 걸음 걷는 것이다.	Главное - признаться себе: 'Я пьян, это факт!' - и воспринимать этот факт как реальность.
그 열 여섯 걸음의 세계에서, 나는 '가장 예의바른 술주정꾼'이라는 칭호를 부 여받고 있다. 그건 간단한 일이다.	Никаких тебе 'но', никаких там 'однако', 'все-таки' и 'тем не менее'.
취했다는 사실을 사실로 수용하면 되는 것 이다.	Просто: 'Я ПЬЯН' - и все тут.
그러나'도 '그렇지만'도 '다만'도 '그래도'도 아무것도 없다. 단지 나는 취한 것 이다.	И покуда со мной это Правило, я всегда буду оставаться самым безоблачным пьяницей, алкашом без проблем.
	Ранним жаворонком выпархивать из гнезда поутру - и последним вагоном до отказа нагруженного поезда переваливать через мост и скрываться в ночном тоннеле...
그렇게 해서 나는 가장 예의바른 술주정꾼이 된다.	Пять, Шесть, Семь...
가장 일찍 일어나는 찌르 레기가 되고, 가장 마지막으로 철교를 건너는 유개 화차가 된다. 5·6·7······. 여덟 번째에서 걸음을 멈추고 눈을 뜨고 심호흡을 한다.	Задержавшись на восьмом шаге, я открываю глаза и делаю глубокий вдох.
가벼운 이명이 일었 다.	Легкий звон в ушах.
녹슨 철조망 사이를 빠져나가는 바닷바람과 같은 이명이었다.	Так, качаясь под ветром, позвякивает ржавая колючая проволока на морском берегу.
그러고 보니 한동안 바다를 보지 못했다.	Как давно уже не был у моря...
7월 24일, 오전 여섯 시 삼십 분.	22 июля, 6:30 утра.
바다를 보기에는 이상적인 계절이고, 이상 적인 시간이다. 아직 모래사장을 더럽힌 사람은 없다.	Идеальная пора, идеальное время суток, чтоб любоваться морем.
파도 치는 해변가에는 바다새의 발자국만이, 바람에 흔들려 떨어진 침엽수의 나뭇잎처럼 흩어져 있다.	Песчаные пляжи еще никто не успел загадить.
	Песок у кромки прибоя ╜ весь в следах птичьих ног, будто ветер рассыпал по берегу иглы хвои с неведомых сосен...
바다라.	Море?!
나는 다시 걷기 시작한다.	Снова трогаюсь с места.
바다에 대한 건 그만 잊어버리자.	Про море - забыть...
그런 건 아주 옛날에 사라져 버린 것이다.	Эта штука давно уже канула в прошлое.
	Сделав шестнадцатый шаг, я останавливаюсь, открываю глаза - и прямо перед собой, как всегда вижу круглую ручку двери.
열 여섯 걸음을 걷고 멈춰 서서 눈을 떠보니, 나는 언제나처럼 정확하게 문의 손잡이 앞에 서 있었다.	Вынимаю из ящика газеты за последние два дня и пару конвертов, зажимаю почту под мышкой.
	Выудив из лабиринтов кармана связку ключей, зажимаю ее в руке и какое-то время стою, прислонившись лбом к холодной железной двери квартиры.
우편함에서 이틀 치분의 신문과 두 통의 편지를 꺼내 서 옆구리에 낀다.	За ушами вдруг ╜ слабый, но отчетливо-резкий щелчок.
