제4장 양을 쫓는 모험I	Часть четвертая ОХОТА НА ОВЕЦ - I
	
우연성 같은 것은 애당초  존재하지 않는다고도 할 수 있다.	
이미 일어나 버린 일은 명확하게 일어나 버린 일이며, 아직  일어나지 않은 일은 아직 명확하게 일어나지 않은 일이다.	
우리는 배후의 '모든 것'과 눈앞의 '제로' 사이에 끼인 순간적인 존재고, 거기에는 우연도 없고 가능성도 없다는 뜻이다.	
	
1. 기묘한 남자에 관한 이야기·서장	1. ДО ПОЯВЛЕНИЯ ЧЕЛОВЕКА СО СТРАННОСТЯМИ
	
 한 사람의 인간이 습관적으로 많은 양의 술을 마시게 되는 데에는 여러 가지 이유가 있다.	Существует много различных причин, отчего человек начинает регулярно и в больших дозах употреблять алкоголь.
이유는 다양하지만, 결과는 대개 똑같다.	Причины могут быть разные, а результат, как правило, один.
1973년에 나의 공동 경영자는 즐거운 주정뱅이였다.	В 1973-м году мой партнер по работе был жизнерадостным выпивохой.
1976년에 그는 아주 조 금 신경질적인 주정뱅이가 되었고, 그리고 1978년 여름에는 초기 알코올 중독으 로 통하는 문의 손잡이에 어설프게 손을 대고 있었다.	В 1976-м он превратился в выпивоху с едва заметными сложностями в общении, а к лету 1979-го пальцы его уже сами тянулись к ручке двери, ведущей в алкоголизм.
많은 습관적 음주자가 그렇듯이 취하지 않았을 때는 그는 예민하다고는 할 수 없더라도 착실하고 호감 이 가는 사람이다. 누구든지 그를 예민하다고는 하지 않더라도 착실하고 호감이 가는 사람이라고 생각했다.	Как и многие пьющие регулярно, в трезвом виде это был человек обаятельный, если не сказать - утонченный, и достойный во всех отношениях.
그도 자기 자신에 대해서 그렇게 생각하고 있었다.	Он и сам о себе так думал.
그래서 술을 마셨 다.	Оттого и пил.
알코올이 들어가면 자신이 확실하고 호감이 가는 사람이라는 생각에 완벽 하게 동화(同化)될 수 있을 것 같기 때문이었다. 물론 처음에는 제대로 동화될 수 있었다.	Ибо был убежден, что, выпив, сможет еще удачнее соответствовать представлению о себе как о достойнейшем и обаятельнейшем человеке.
그러나 시간이 지나고 주량이 늘어 남에 따라서 거기에 미묘한 오차가 생기고, 그 미묘한 오차는 이윽고 깊은 골을 만들게 되었다.	Конечно, поначалу у него получалось неплохо.
	Однако время шло, дозы все увеличивались, и спустя какое-то время едва уловимая погрешность программы - трещинка, возникшая неведомо когда, - разрослась и зазияла бездонной пропастью в общей схеме его жизни.
그의 착실함과 호감이 너무나 앞질러 가서 그 자신조차도 따라 잡을 수 없게 되고 만 것이다.	Его достоинства и обаяние понесло вперед на таких скоростях, что он уже сам за ними не поспевал.
흔히 있는 일이다.	Случай обычный.
그러나 대부분의 사람들은 자기 자신의 일을 흔히 있는 일이라고 생각하지는 않는다.	Но большинство людей ни за что не хочет считать 'обычным случаем' собственную персону.
예민하지 못한 사람이라면 더욱더 그렇다.	А натуры утонченные - и подавно.
