一 太阳还没出来，天上浮着层灰冷的光。	1 Солнце еще не взошло, по небу блуждал серовато-холодный свет.
土道上的车辙有些霜迹。	Выпал иней.
骆驼的背上与项上挂着些白穗，鼻子冒着白气。	Посеребрил горбы и головы верблюдов, отрешенно и покорно шествовавших по земле.
北平似乎改了样儿，连最热的路也看着眼生。	Из ноздрей этих огромных животных вырывались клубы пара.
庞大，安静，冷峭，驯顺，正像那连脚步声也没有的骆驼。	Пекин изменился до неузнаваемости, даже знакомая дорога казалась чужой.
老李打了个哈欠，眼泪下来许多，冷气一直袭入胸中，特别的痛快。	Лао Ли протяжно зевнул, даже слезы побежали из глаз.
越走越亮了，青亮的电灯渐渐的只剩一些金丝了。	С какой-то особой радостью вдохнул холодный воздух.
天上的灰光染上些无力的红色；太阳似乎不大愿意痛快的出来。	Светало. Лампочки постепенно теряли яркость, светились лишь золотые волоски.
	Небо зарозовело. Солнце, казалось, не спешило радовать своим появлением, а когда взошло наконец, и свет его и тени, которые легли на землю, были бледными.
及至出来，光还是很淡，连地上的影子都不大分明。	Вдали прогрохотал первый трамвай.
远处有电车的铃声。	Все чаще попадались прохожие.
	Они словно манили к себе солнечные лучи.
街上的人渐渐多起来。	Тени стали рельефнее.
人们好似能引起太阳的热力，地上的影儿明显了许多，墙角上的光特别的亮。	Появилась женщина с корзинкой за спиной.
换火柴的妇女背着大筐，筐虽是空的，也还往前探着身儿走。	Она, видимо, ходила менять старье на спички.
穷小孩们扛着丧事旗伞的竿子，一边踏拉着破鞋疾走，一边互相叫骂。	Корзинка была пустой, но женщина шла, подавшись всем телом вперед, будто тащила тяжесть.
	Шлепая драными башмаками, возвращались с похорон ребятишки с древками от флагов, шли и переругивались.
这也是孩子！	И это тоже были дети!
老李对自己说：看那个小的，至多也不过八岁，一身的破布没有一块够二寸的，腿肚子，脚指头，全在外边露着。	«Взгляни на того маленького, - сказал себе Лао Ли, - ему не больше восьми.
脏，破烂，骂人骂得特别的响亮。	Грязный, изодранная одежда едва прикрывает тело.
这也是孩子！	А как бранится!»
	Лао Ли стало жаль мальчика.
老李可怜那个孩子，同时不知道咒骂谁才好；家庭，社会，似乎都该骂。	Кого винить в его судьбе: семью, общество или тех и других?
可是骂一阵有什么用呢？	Но есть ли смысл искать виновных?
	Подумай о более близких тебе делах, о собственных детях.
	Лао Ли стало тревожно, словно он должен был перед кем-то оправдываться.
往切近一点想吧——心中极不安的又要向谁道歉似的——先管自己的儿女吧。	Вот и Среднее море [[14]: #_ednref14 Среднее море - озеро в центре Пекина.].
	Солнце играло на зеленовато-серой воде, кое-где уже стянутой тонким льдом, из-под которого виднелись комли камыша, стебли лотоса, разорванные листья, похожие на куски ржавой жести.
	Навстречу попались люди со свадебным паланкином, они торопились, видно, шли за невестой в деревню, поэтому и двинулись в путь так рано.
	Лао Ли задумчиво глядел на паланкин: таинственно, удивительно и в то же время забавно.
走到了中海。	Но в этом - жизнь.
	Иначе люди не стали бы нести с таким уважением эту игрушку, похожую на огромную клетку.
	Лао Ли был уверен: невеста, которую понесут в паланкине, наверно, будет очень горда - во всяком случае, ей ни перед кем не надо оправдываться.
	Сам не зная зачем, Лао Ли пошел к Северо-западному рынку [[15]: #_ednref15 Северо-западный рынок - улица со множеством лавок.].
“海”中已薄薄的冻了层冰，灰绿上罩着层亮光。	Он не собирался туда идти, да и не было в том нужды.
桥下一些枯荷梗与短苇都冻在冰里，还有半个破荷叶很像长锈的一片马合铁。	И все же пошел. Лао Ли прожил в Пекине несколько лет, но ему никогда не приходилось бывать в этих местах ранним утром.
迎头来了一乘彩轿，走得很快，一望而知是到乡下迎娶的，所以发轿这么早。	Свинина, баранина, говядина; куры, битые и живые; рыба живая, рыба уснувшая; всякие овощи.
老李呆呆的看着那乘喜轿：神秘，奇怪，可笑。	Кровь от мяса, шелуха от лука - все вмерзло в землю.
	А сколько теснилось рыбы в водоеме: угри, гольцы со сверкающими на голове льдинками.
可是，这就是真实；不然，人们不会还这么敬重这加大的鸟笼似的玩艺。	Гольцы так и сверлили покупателей взглядом, словно хотели их загипнотизировать.
他心似乎有了些骨力。	Пахло гнилью.
坐彩轿的姑娘大概非常的骄傲，不向任何人致歉？	Рядом с рыбным прилавком стоял торговец подвязками: «Подтяжки, резинки, хорошие резинки!»
	Цирюльники еще не пришли, но тенты уже были натянуты, и уборщики выметали короткие, жесткие волосы, оставшиеся со вчерашнего дня.
他一直走到西四牌楼；一点没有上这里来的必要与预计，可是就那么来到了。	Ощипанные и живые куры лежали рядом.
在北平住了这么些年了，就没在清晨到过这里。	Живые бились в корзинках и клохтали.
猪肉，羊肉，牛肉；鸡，活的死的；鱼，死的活的；各样的菜蔬：猪血与葱皮冻在地上；多少多少条鳝鱼与泥鳅在一汪儿水里乱挤，头上顶着些冰凌，泥鳅的眼睛像要给谁催眠似的瞪着。	Вот торговец вытащил одну, поторговался с покупателем и, не сговорившись о цене, бросил курицу обратно в корзинку.
乱，腥臭，热闹；鱼摊旁边吆喝着腿带子：“带子，带子，买好带子。”	Раздался пронзительный крик - ей прищемило крышкой крыло.
剃头的人们还没来，小白布棚已支好，有人正扫昨天剃下的短硬带泥的头发。	Огромная тощая собака утащила свиные потроха.
拔了毛的鸡与活鸡紧临的放着，活着的还在笼内争吵与打鸣儿。	Мясник пустился вдогонку. Собака выронила потроха.
贩子掏出一只来，嘎——啊，嘎——没打好价钱，拍的一扔，扔在笼内，半个翅膀掩在笼盖下，嘎！	Мясник подобрал их и водворил на крюк. Откуда только не приезжали в это зловонное место!
一只大瘦黄狗偷了一挂猪肠，往东跑，被屠户截住，肠子掉在土上，拾起来，照旧挂在铁钩上。	Здесь были гуандунцы, пекинцы, шанхайцы, старые и молодые, мужчины и женщины.
	Человеческая жизнь.
广东人，北平人，上海人，各处的人，老幼男女，都在这腥臭污乱的一块地方挤来挤去。	Она жаждет крови, мяса и грязи. Главное - это брюхо, оно способно сожрать весь мир!
人的生活，在这里，是屠杀，血肉，与污浊。	В этом царстве желудка нет места идеалам.
肚子是一切，吞食了整个世界的肚子！	Здесь все поражает!
	Особенно женщины, нечесаные, неумытые, со следами грязи и вчерашней пудры.
	Трудно себе представить, что это они, нарядные и красивые, после обеда будут прогуливаться в торговых рядах «Восточное спокойствие».
在这里，没有半点任何理想；这是肚子的天国。	Лао Ли впервые видел этот мир.
奇怪。	Как любопытно!
尤其是妇女们，头还没梳，脸上挂着隔夜的泥与粉，谁知道下午上东安市场的也是她们？	Он был изумлен, и в то же время ему казалось, что он недалек от истины.
老李这是头一次来观光，惊异，有趣，使他似乎抓到了些真实。	Это и есть жизнь - жрать что попало; люди живут ради брюха.
这是生命，吃，什么也吃；人确是为面包而生。	Неравенство в еде - основное неравенство в жизни.
面包的不平等是根本的不平等。	Какая там поэзия!
什么诗意，瞎扯！	Все вздор!
为保护自家的面包而饿杀别人，和为争面包而战争，都是必要的。	Ради желудка одни морят голодом других, даже воюют.
西四牌楼是世界的雏形。	Это - необходимость.
那群男女都认识这个地方，他们是真活着呢。	Северо-западный рынок - это мир в миниатюре.
为肚子活着，不为别的；张大哥对了。	Толпы мужчин и женщин… Они хорошо знают это место.
为肚子而战争是最切实的革命，也对了。	Да, они живут исключительно ради желудка.
只有老李不对：他在公寓里住惯了，他总以为公寓里会产生炒木犀肉与豆腐汤。	Чжан Дагэ прав. Война во имя желудка - это и есть революция.
他以为封建制度是浪漫的史迹，他以为阶级战争是条诗意的道路。	А вот Лао Ли не прав.
他不晓得这块带腥味的土是比整个的北平还重要。	Он привык жить в гостинице, где ему всегда принесут чашку супа и кусок мяса.
他只有两条路可走：去空洞的作梦，或切实的活着。	И ему кажется, что феодализм - это эпоха романтики, а борьба классов - поэзия.
后者还可以再分一下：为抓自己的面包活着，或为大众争面包活着。	Он не понимает, что в Пекине нет более важного места, чем этот зловонный кусок земли.
他要是能在二者之中选定一条，他从此可以不再向生命道歉。	Есть только два пути: предаваться пустым мечтам или жить реальностью.
牌楼底下，热豆浆，杏仁茶，枣儿切糕，面茶，大麦粥，都冒着热气，都有股特别的味道。	Но и в реальной жизни может быть два пути: заботиться о собственном благе или жить ради блага всеобщего.
切糕上的豆儿，切开后，像一排鱼眼睛，看着人们来吃。	Надо выбрать один из них и тогда не нужно будет оправдываться.
老李立在那里，喝了碗豆浆。 二	Чего только не продавали на рынке!
	И горячее соевое молоко, и миндальное молоко, и рисовую запеканку с финиками и горохом, и мучной кисель, и ячневую кашу.
老李决定了接家眷，先“这么”活着试试。	Все дымилось и выглядело очень аппетитно.
	Горошины, когда отрезали кусок запеканки, походили на рыбьи глаза и, казалось, ждали, что их вот-вот проглотят.
可是始终想不起什么时候下乡去。	Лао Ли стоял среди всего этого изобилия, смотрел и пил соевое молоко…
张大哥每天早晨必定报告一些消息：“房子定好了；看看去？”	2 Лао Ли решился наконец перевезти семью, но никак не мог выбрать время для поездки в деревню.
“何必看；您的眼睛不比我的有准？”	Каждое утро Чжан Дагэ сообщал что-нибудь новое: «Дом снят.
老李把感激的话总说得不受听了。	Сходим посмотрим?» - Зачем?
好在张大哥明白老李的为人，因而不但不恼，反觉得可以自傲。	Ты не хуже меня разбираешься в этом. - Так непочтительно Лао Ли выражал свою благодарность.
	Однако Чжан Дагэ понимал, что за человек Лао Ли, и потому не только не сердился, но даже испытывал чувство гордости.
“三张桌子，六把椅子，一个榆木擦漆的——漆皮稍微有些不大好看了——衣橱；暂时可以对付了吧？”	Три стола, шесть стульев, лакированный комод из вяза, правда, лак чуть-чуть облез.
第二天早晨的报告。	На первое время, надеюсь, хватит?
老李只好点头，表示可以对付。	Лао Ли только кивал головой.
	Когда же Чжан Дагэ сказал, что приготовлены даже чайник и чашки, Лао Ли понял, что поездку в деревню откладывать больше нельзя.
及至张大哥报告到茶壶茶碗也预备齐了，老李觉得非下乡不可了。	Чжан Дагэ посоветовал ему взять отпуск на пять дней.
	Перед отъездом Лао Ли попросил Чжан Дагэ ничего не говорить сослуживцам, и тот обещал.
	От Северных ворот Лао Ли прошел к Южным [[16]: #_ednref16 Северные ворота, Южные ворота - ворота в городской стене Пекина.]: он хотел купить родителям что-нибудь любопытное, чем славится Пекин; с этим ему было как-то неловко обращаться к Чжан Дагэ.
张大哥给出主意，请了五天假。	Ходил долго, но так ничего и не купил.
临走的时候，老李嘱咐张大哥千万别向同事的说这个事，张大哥答应了决不走露消息。	Он не любил магазины, да и магазины, казалось, платили ему тем же.
老李从后门绕到正阳门，想给父母买些北平特有的东西；这个自然不好意思再向张大哥要主意，只好自己去探险。	Входя в магазин, Лао Ли испытывал такое чувство, будто сейчас его кто-то укусит.
走了一身透汗，什么也没买，最大的原因是看着铺子们眼生，既不能扼要的决定买什么，又好像怕铺子们不喜欢他的照顾，一进去也许有被咬了一口的危险。	В конце концов он купил немного фруктов, хотя понимал, что это не редкость и достать их можно не только в Пекине.
最后，还是在东安市场买了些果子，虽然明知道香蕉什么的并不是北平的出产。	И еще он купил шесть консервных банок с очень красивыми этикетками.
又添了六个陈嘉庚的罐头，商标的彩纸印得还怪好看的。 三	3 На другой же день все сослуживцы уже знали, что Лао Ли поехал за женой.
老李走后的第二天，衙门里的同事几乎全知道了：李太太快来了。	Но слух пошел не от Чжан Дагэ.
张大哥确是没有泄露消息。 消息广播的总站是赵科员。	. Главным источником информации в отделе был Сно Чжао.
	В театр он всегда ходил по контрамаркам и получал их если не первым среди сослуживцев, то непременно вторым.
	Программа соревнований, которую раздавали работникам стадиона, неизменно оказывалась и у него.
	Отправляясь на стадион, в театр или еще куда-нибудь, он брал с собой газету и сворачивал в трубочку - специально для того, чтобы приветствовать знакомых.
赵科员听戏永远拿着红票；凡是发红票的时候，他不是第一也是第二得到几张。	Хлопнет кого-нибудь по голове и изумится: - Вы тоже здесь?
运动会给职员预备的秩序单，他手里总会有一份。	Чужие жены его интересовали чрезвычайно.
	Приезд семьи, с точки зрения Сяо Чжао, - своего рода домашняя выставка, и хотя на такие зрелища не выдают пропусков, он непременно должен попасть туда первым.
上运动会，或任何会场，听戏，赵科员手里永远拿着个纸卷，用作打熟人脑袋的兵器。	Спортсменки, официантки, актрисы - каждую из этих женщин следует оценить, как экспонат.
	Так же он смотрел на чужих жен - оценивал лицо, шею, руки, ноги и все прочее, что доступно постороннему взгляду.
	По ночам ему снились обнаженные женщины, и потом он весь день рассказывал о них сослуживцам.
打了人家的脑袋，然后，“你也来啦？”	Хоть бы Лао Ли скорей привез жену!
他对于别人的太太极为关心。	Сяо Чжао сгорал от нетерпения.
接家眷，据他看，就是个人的展览会；虽然不发入场券，可是他必是头一个“去瞧一眼”的。	Обычно разговоры Сяо Чжао о женщинах сопровождались веселым смехом сослуживцев.
女运动员，女招待，女戏子等等都是预备着为他“瞧”的，别无意义。	Один только Лао Ли оставался равнодушным. Какая же у него жена?
对于别人的夫人也是这样。	Сяо Чжао был заинтригован.
