一 老李上衙门去。	1 Лао Ли отправился на службу.
	Чжан Дагэ и в самом деле мудрый человек: снял для Лао Ли дом всего в двух ли [[23]: #_ednref23 Ли - китайская мера длины, около шестисот метров.] от работы.
张大哥确是有眼力：给老李租的房正好离衙门不远——也就是将到二里地。	Это имело много преимуществ: во-первых, он не тратил денег на дорогу, во-вторых, мог обедать дома, да к тому же еще и прогуляться.
	Лао Ли еще не подсчитал, сколько сэкономит в месяц, но у него теплилась надежда, что какая-то сумма останется, только разве сэкономишь с семьей?
省车钱是一，可以来往运动运动是二，午饭能在家里吃是三。	Лао Ли вспомнил, что говорил Чжан Дагэ, советуя людям жениться: «Расходы будут те же, что и на одного человека».
老李虽然没有计算一月可以省多少车钱，可是心中微微有点可以多储蓄下点的光亮与希望。	Как будто у женщины нет никаких потребностей, или ей просто заказано их иметь.
想到储蓄，不由的想到：家眷来了，还能剩钱？	Ведь, женщина тоже человек.
张大哥永远劝人结婚和接家眷，唯一的理由似乎是：“两口儿并不见得比一个人费钱。”	Но его жена… Впрочем, даже курицу без пшена не выкормишь!
好像女人天生来的不会花钱，没有任何需要，也不准有需要！	Лао Ли уже раскаивался, что перевез семью из деревни.
老李看女人也是个人。	Он - глава семьи?
可是，英的妈…… 即使是养只鸡也得给小米吃呀！	Но эта роль совершенно ему не подходит.
老李觉得接家眷这回事有点错误。 一家之长？	При мысли о том, что надо идти на службу, Лао Ли совсем приуныл.
越看自己越不像。 快到了衙门，他更不痛快了。	Как он попал в управление финансов?
怎么当上了科员？	Он и не помнит.
似乎想不起。	Глава семьи!
家长？ 当科员或者不是件坏事。	Служить в управлении финансов не так уж плохо, тем более если у тебя семья.
没有科员的薪水怎能当家长？ 科员与家长是天造地设的一对——什么？	Служащий управления финансов, глава семьи - какое идеальное сочетание… Он подошел к зданию, где работал.
看见了衙门，那个黑大门好似一张吐着凉气的大嘴，天天早晨等着吞食那一群小官僚。	Большие черные ворота как пасть чудовища: они выплевывают холодный воздух и проглатывают целую армию мелких служащих.
吞，吞，吞，直到他们在这怪物的肚子里变成衰老丑恶枯干闭塞——死！	Глотают каждый день, до тех пор, пока служащие не превратятся в брюхе чудовища в мумии, страшные, высохшие, пока не умрут.
虽然时时被一张纸上印着个红印给驱逐出去，可是在这怪物肚中被驱逐，不是个有刺激性的事。	В любую минуту любого могли выгнать отсюда вон, но добровольно никто не уходил.
